JulianDate,Plot,drymass_g,FracSoilC,soilcmass_g,slope_ug_g_min
375,13,15.31785298,0.06730515,1.030970392,0.011355354
375,14,13.33760869,0.049134474,0.655336387,0.00295145
375,15,15.4247181,0.035988452,0.555111727,0.002800609
375,16,14.00419288,0.031166859,0.436466705,0.002240404
375,17,14.16134414,0.048480635,0.686550956,0.00436592
375,18,14.17566667,0.033968997,0.481533179,0.002213303
375,19,13.02007435,0.049329638,0.642275554,0.003700292
375,20,16.34455978,0.050039511,0.817873779,0.005215077
375,21,15.17968253,0.062321873,0.946026247,0.004983918
375,22,13.34000001,0.059288177,0.790904282,0.0041309
375,23,14.41036972,0.054538288,0.785916894,0.003759252
375,24,13.60903051,0.071805949,0.977209351,0.006835443
375,25,12.5210103,0.114828568,1.437769683,0.013128704
375,26,14.24468209,0.098411703,1.401843423,0.008523916
375,27,14.07065934,0.088183308,1.240797286,0.004885262
375,28,14.90100796,0.097220345,1.448681135,0.006698378
375,29,13.78688572,0.107228251,1.478343642,0.009698433
375,30,13.63126637,0.09716095,1.32442679,0.0091501
375,31,13.92702568,0.098145361,1.366872963,0.006720978
375,32,11.44096677,0.123407126,1.411896828,0.011557577
375,33,12.42194891,0.100565405,1.249218323,0.007247561
375,34,14.09218242,0.056400647,0.794808206,0.005922733
375,35,12.97694391,0.063473816,0.82369615,0.006265875
375,36,13.09339705,0.095515642,1.250624225,0.00794321
375,37,11.12200001,0.071612425,0.796473392,0.006060587
375,38,12.22979144,0.081808348,1.000499034,0.012471855
375,39,13.63622093,0.105532417,1.439063353,0.012776321
375,40,12.33761391,0.109769363,1.35429202,0.006129491
375,41,12.51536633,0.056978292,0.713104197,0.0068073
375,42,11.97650523,0.142337942,1.704711107,0.010915486
375,43,12.98173333,0.084535217,1.097413644,0.006320244
375,44,13.7966611,0.09904088,1.366433456,0.00510736
375,45,14.15930942,0.0863063,1.222037607,0.007567083
375,46,NA,NA,NA,NA
375,47,11.06521445,0.18553175,2.052948601,0.01108429
375,48,5.711801897,0.12223793,0.69819884,0.008386031
392,1,14.68288241,0.02856096,0.419357217,0.003441079
392,2,15.45218402,0.033043883,0.510600161,0.003809264
392,3,13.57254355,0.043177724,0.586031539,0.005735771
392,4,14.28953572,0.056258264,0.803904473,0.010032243
392,5,14.95704845,0.053439951,0.799303936,0.005903047
392,6,15.20264152,0.056362486,0.85685867,0.004318067
392,7,14.36511804,0.04723691,0.678563788,0.002321878
392,8,14.79696722,0.060656929,0.89753859,0.0035064
392,9,15.90561152,0.038174934,0.60719567,0.006290998
392,10,13.22536328,0.060441909,0.799366204,0.003642855
392,11,14.035,0.048759494,0.684339498,0.003168655
392,12,14.89688312,0.035717561,0.532080332,0.001119498
392,13,15.31785298,0.06730515,1.030970392,0.006834814
392,14,13.33760869,0.049134474,0.655336387,0.001180911
392,15,15.4247181,0.035988452,0.555111727,0.005466009
392,16,14.00419288,0.031166859,0.436466705,0.002249402
392,17,14.16134414,0.048480635,0.686550956,0.002355289
